Title,Acronym,CORE2023,CORE2021,CORE2020,CORE2018,CORE2017,CORE2014,CORE2013,ERA2010,h5_index,h5_median
Computational Techniques and Applications Conference,CTAC,,,,C,C,C,C,C,,
Computational Topology Workshop,CT,,,,C,C,C,C,C,,
Computer Aided Verification,CAV,A*,A*,A*,A*,A*,A*,A*,A,38.0,57.0
Computer Algebra in Scientific Computing,CASC,B,B,,,,,,,9.0,11.0
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,C,C,C,C,C,C,C,C,,
Computer Graphics International,CGI,C,B,B,B,B,B,B,B,59.0,92.0
Computer Science Research Conference,CSRC,,,,C,C,C,C,C,14.0,18.0
Computer Sciences and Information Technologies,CSIT,National,National,,,,,,,25.0,33.0
Computer Supported Collaborative Learning,CSCL,,B,A,A,A,A,A*,A,33.0,47.0
Computing in Education Group of Victoria Conference,CEG,,,,C,C,C,C,C,,
Computing: The Australasian Theory Symposium,CATS,,,,Australasian,Australasian,Australasian,Australasian,B,,
Conference for the International Simulation and Gaming Association,ISAGA,C,C,C,C,C,C,C,C,,
Conference in Uncertainty in Artificial Intelligence,UAI,A,A,A*,A*,A*,A*,A*,A,56.0,87.0
Conference of the Association for Machine Translation in the Americas,AMTA,National/Regional,National/Regional,B,B,B,B,B,B,,
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,C,C,C,C,C,C,C,C,,
Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques,CIEAEM,,,,C,C,C,C,C,,
Conference of the European Association for Machine Translation,EAMT,C,B,B,B,B,B,B,B,17.0,31.0
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,C,C,,,,,,,,
Conference of the International Society for Decision Support Systems,ISDSS,,,,C,C,C,C,C,,
Conference of the Pacific Association for Computational Linguistics,PACLING,,B,B,B,B,B,B,B,,
Conference on Agile Software Development,XP,B,B,B,B,B,B,B,B,24.0,36.0
Conference on Algebra and Coalgebra in Computer Science,CALCO,B,B,,,,,,,,
Conference on Algorithmic Aspects in Information and Management,AAIM,C,C,C,C,C,C,C,C,,
Conference on Algorithms and Hardware for Parallel Processing,CONPAR,,,,C,C,C,C,C,,
Conference on Artificial Intelligence for Applications,CAIA,,,,B,B,B,B,B,,
Conference on Artificial Neural Networks and Expert systems,ANNES,,,,C,C,C,C,C,,
Conference on Combinatorial Optimization and Applications,COCOA,C,B,B,B,B,B,B,B,9.0,14.0
Conference on Computational Natural Language Learning,CoNLL,B,A,A,A,A,A,A,A,39.0,60.0
"Conference on Computers, Freedom, and Privacy",CFP,,,,C,C,C,C,C,,
"Conference on Discrete Mathematics, Algebra and their Application",DIMA,,,,C,C,C,C,C,,
Conference on File and Storage Technologies,FAST,A,A,A,A,A,A,A,A,39.0,66.0
Conference on Fun with Algorithms,FUN,National: Italy,National: Italy,National: Italy,B,B,B,B,B,,
Conference on Games (was Computational Intelligence and Games CIG),COG,C,C,C,C,C,C,C,C,31.0,46.0
Conference on Graph Theory and Discrete Geometry,CGTDG,,,,C,C,C,C,C,,
"Conference on Information Science, Technology and Management",CISTM,,,,B,B,B,B,B,9.0,15.0
Conference on Information Sciences and Systems,CISS,National: USA,National: USA,National: USA,C,C,C,C,C,21.0,41.0
"Conference on Innovation in Clouds, Internet and Networks",ICIN,National: France,National: France,National: France,Unranked,,,,,17.0,30.0
Conference on Innovative Data Systems Research,CIDR,A,A,A,A,A,A,A,A,32.0,49.0
Conference on Integer Programming and Combinatorial Optimization,IPCO,A,A,A,A,A,A,A,A,,
Conference on Intelligent Computer Mathematics,CICM,C,C,,,,,,,3.0,4.0
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,A,A,A,A,A,A,A,A,17.0,24.0
Conference on Learning Theory,COLT,A*,A*,A*,A*,A*,A*,A*,A,74.0,103.0
Conference on Office Information Systems,SIGOA,,,,C,C,C,C,C,,
"Conference on Orders, Algorithms and Applications",Ordal,,,,C,C,C,C,C,,
Conference on RFID Security,RFIDSec,,,,C,C,C,C,C,,
Conference on Robot Learning,CoRL,Unranked,,,,,,,,88.0,150.0
Conference on Security and Cryptography for Networks,SCN,National: Italy,National: Italy,National: Italy,B,B,B,B,B,,
Conference on Security in Network Architectures and Information Systems,SAR-SSI,,,,C,C,C,C,C,,
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,C,C,C,C,C,C,C,C,21.0,31.0
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,National: Croatia,National: Croatia,National: Croatia,B,B,B,B,B,,
Conference on Theory and Applications of Models of Computation,TAMC,C,B,B,B,B,B,B,B,11.0,24.0
Conference on Visualization and Data Analysis,VDA,National: USA,National: USA,National: USA,C,C,C,C,C,,
Conference on the Quality of Software Architectures,QoSA,,,,,B,B,A,A,,
Constraint Databases and Applications,CDB,,,,C,C,C,C,C,,
Constraint Programming Day,CPD,,,,C,C,C,C,C,,
"Cooperative Design, Visualization, and Engineering",CDVE,C,C,C,C,C,C,C,C,8.0,8.0
Coordinated and Multiple Views in Exploratory Visualization,CMV,,,,C,C,C,C,C,,
Cryptographers Track at RSA Conference,CT-RSA,B,B,B,B,B,B,B,B,23.0,50.0
Cryptography Policy and Algorithms Conference,CryPAC,,,,C,C,C,C,C,,
Cultural Attitudes towards Technology and Communications,CATAC,,,,B,B,B,B,B,,
Cultural Heritage Knowledge Visualisation,CHKV,,,,C,C,C,C,C,,
Current Trends in Theory and Practice of Computer Science,SOFSEM,B,B,B,B,B,B,B,B,,
DIMACS Workshop on Intrinsic Complexity of Computation,DIMACS Intrinsic,,,,C,C,C,C,C,,
DNA Computing and Molecular Programming,DNA,B,B,B,B,B,B,B,B,,
Data Compression Conference,DCC,B,B,A*,A*,A*,A*,A*,A,24.0,39.0
Data Semantics in Web Information Systems,DASWIS,,,,C,C,C,C,C,,
Data Warehousing and Knowledge Discovery,DaWaK,B,B,B,B,B,B,B,B,12.0,20.0
Database Programming Languages,DBPL,,B,B,B,B,B,B,B,,
"Datenbanksysteme für Business, Technologie und Web",BTW,National:Germany,National:Germany,,,,,,,14.0,18.0
Deductive and Object-Oriented Databases,DOOD,,,,A,A,A,A,,,
Design Automation Conf,DAC,TBR,,,A,A,A,A,,60.0,85.0
Design and Aesthetics in Visualisation,DAViz,,,,C,C,C,C,C,,
Design and Management of Data Warehouses,DMDW,,,,C,C,C,C,C,,
Design for User Experience,DUX,,,,B,B,B,B,B,,
"Design, Automation and Test in Europe Conference",DATE,B,B,B,B,B,B,B,B,46.0,71.0
Designing Interactive Systems,DIS,A,A,B,B,B,B,B,B,49.0,62.0
Developments in Language Theory,DLT,C,B,B,B,B,B,B,B,8.0,10.0
Developments in eSystems Engineering,DeSE,C,C,C,C,,,,,18.0,27.0
Digital Arts and Culture,DAC,,,,C,C,C,C,C,,
Digital Audio Effects Conference,DAFX,C,B,B,B,B,B,B,,,
Digital Games Research Conference,DIGRA,C,C,C,C,C,C,C,C,,
Digital Image Computing Techniques and Applications,DICTA,Australasian C,Australasian B,Australasian B,Australasian,B,B,B,B,20.0,29.0
Discourse Anaphora and Anaphor Resolution Colloquium,DAARC,,,,C,C,C,C,C,,
Discovery Science,DS,B,Unranked,Unranked,Unranked,,,,,34.0,43.0
"Discrete Models: Combinatorics, Computation and Geometry",DM-CCG,,,,C,C,C,C,C,,
Discrete and Algorithmic Geometry,DAG,,,,C,C,C,C,C,,
Distributed Communities on the Web Workshop,Dcw,,,,C,C,C,C,C,,
Distributed Simulation Symposium,DSS,,,,B,B,B,B,,14.0,21.0
Doing IT at Melbourne,DITAM,,,,,L,L,L,,,
Domain - Specific Languages for Software Engineering,DSLSE,,,,C,C,C,C,C,,
Domain Specific Aspect Languages,DSAL,,,,C,C,C,C,C,,
Dutch Computational Geometry Day,DutchCG,,,,C,C,C,C,C,,
Dynamic Graph Workshop,DGW,,,,C,C,C,C,C,,
Dynamic Languages Symposium,DLS,C,C,B,B,B,B,B,B,,
ECRYPT Workshop on Cryptographic Hash Functions,ECRYPT,,,,C,C,C,C,C,,
ECRYPT Workshop on Tools for Cryptanalysis,ECRYPT,,,,C,C,C,C,C,,
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,B,B,B,B,B,B,B,,15.0,25.0
ENVI and IDL Data Analysis and Visualization Symposium,VISualize,,,,C,C,C,C,C,,
ERATO Conference on Quantum Information Science,EQIS,,,,C,C,C,C,C,,
ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming,ERCIM/CSCLP,,,,B,B,B,B,B,,
ETHICOMP Conference,ETHICOMP,C,B,B,B,B,B,B,B,,
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,C,C,C,C,Unranked,Unranked,,,,
Educational Data Mining,EDM,B,B,B,B,B,B,B,B,32.0,45.0
Embedded Sensor Networks Workshop,Emnets,,,,C,C,C,C,C,,
Empirical Methods in Natural Language Processing,EMNLP,A*,A,A,A,A,A,A,A,193.0,310.0
Enabling Grids for E-Science European Conference,EGEE,,,,C,C,C,C,C,,
Engineering Applications of Artifical Intelligence,EAAI,,,,A,A,A,A,,97.0,135.0
Engineering Federated Information (Database) Systems,EFIS/EFDBS,,,,C,C,C,C,,,
Engineering Interactive Computing Systems,EICS,Journal Published,Journal Published,Unranked,Unranked,,,,,12.0,16.0
Ershov Conference,PSI,,,National: Russia,B,B,B,B,B,,
Euro Virtual Reality,Euro VR,C,C,C,C,C,C,C,C,,
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,C,C,C,C,C,C,C,C,,
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,C,B,B,B,B,B,B,B,,
Eurographics/IEEE Symposium on Visualization,EuroVis,B,B,B,B,B,B,B,B,,
Euromicro Conference on Real-Time Systems,ECRTS,B,A,A,A,A,A,A,A,21.0,36.0
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,B,B,B,B,B,C,C,C,23.0,36.0
"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,C,C,C,C,C,C,C,C,16.0,29.0
European Association for Computational Linguistics,EACL,A,A,A,A,A,A,A,A,56.0,88.0
European Chapter on Combinatorial Optimization,ECCO,C,C,C,C,C,C,C,C,,
European Computing Conference,ECC,,,,C,C,C,C,C,14.0,21.0
European Conference of Information Warfare,ECIW,,,,C,C,C,C,C,,
European Conference on Ambient Intelligence,AmI,,C,C,C,C,C,C,C,,
European Conference on Artificial Intelligence,ECAI,A,A,A,A,A,A,A,A,36.0,66.0
European Conference on Artificial Life,ECAL,,,,B,B,B,B,B,,
European Conference on Computational Biology,ECCB,C,B,B,B,B,B,B,B,,
European Conference on Computational Learning Theory (Now in COLT),EuroCOLT,,,,C,C,C,C,C,,
European Conference on Computer Supported Cooperative Work,ECSCW,B,B,B,B,B,B,B,B,11.0,14.0
European Conference on Computer Vision,ECCV,A*,A*,A,A,A,A,A,A,206.0,306.0
European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,C,C,C,C,C,C,C,C,,
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,B,B,Unranked,Unranked,,,,,,
European Conference on Genetic Programming,EUROGP,B,B,B,B,B,B,B,B,,
European Conference on Information Management and Evaluation,ECIME,,,,C,C,C,C,C,,
European Conference on Information Retrieval,ECIR,A,A,A,A,B,B,B,B,42.0,60.0
European Conference on Information Systems,ECIS,,,,A,A,A,A,A,39.0,52.0
European Conference on Knowledge Management,EKM,,,,B,B,B,B,B,12.0,14.0
European Conference on Machine Learning (Joined with PKDD from 2008),ECML,,,,,,A,A,A,,
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A,A,A,A,A,A,A,A,,
European Conference on Modelling Foundations and Applications,ECMFA,B,NEW,,,,,,,,
European Conference on Multi-Agent Systems,EUMAS,C,C,C,C,C,C,C,C,11.0,14.0
European Conference on Object-Oriented Programming,ECOOP,A,A,A,A,A,A,A,A,19.0,26.0
European Conference on Operations Research,EURO,C,C,C,C,C,C,C,C,,
European Conference on Pattern Languages of Programs,EuroPLop,National: Germany,National: Germany,National: Germany,B,B,B,B,B,13.0,23.0
European Conference on Research Methodology for Business and Management Studies,ECRM,,,,C,C,C,C,C,10.0,30.0
European Conference on Software Architecture,ECSA,A,A,A,A,A,A,,,20.0,28.0
European Conference on Software Maintenance and Reengineering,CSMR,,,,C,C,C,C,C,,
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,C,C,C,C,C,C,C,C,12.0,16.0
European Conference on Technology Enhanced Learning,EC-TEL,B,B,,,,,,,19.0,26.0
European Conference on Universal Multiservice Networks,ECUMN,,,,C,C,C,C,C,,
European Congress on Intelligent Techniques and Soft Computing,EUFIT,,,,C,C,C,C,C,,
European Dependable Computing Conference,EDCC,Unranked,Unranked,Unranked,Unranked,,,,,14.0,21.0
European Graphics Conference,EUROGRAPH,,,,A,A,A,A,A,,
European Grid Conference,EGC,,,,B,B,B,B,,4.0,6.0
European Institute for Computer Anti-Virus Research EICAR Conference,EICAR,,,,C,C,C,C,C,,
European Lisp Workshop,ELW,,,,C,C,C,C,C,,
European MPI Users' Group Conference,EuroMPI,C,C,C,C,C,C,C,C,,
European Natural Language Generation Workshop,EuroNLG,,,,B,B,B,B,B,,
European PKI Workshop: Theory and Practice,EUROPKI,,,,B,B,B,B,B,,
European SPI,EuroSPI,B,B,B,B,B,B,B,B,17.0,22.0
European Signal Processing Conference,EUSIPCO,,,,B,B,B,B,B,36.0,44.0
European Simulation Symposium,ESS,,,,B,B,B,B,B,11.0,14.0
European Symposium On Research In Computer Security,ESORICS,A,A,A,A,A,A,A,A,33.0,48.0
European Symposium on Algorithms,ESA,A,A,A,A,A,A,A,A,25.0,30.0
European Symposium on Artificial Neural Networks,ESANN,B,B,B,B,B,B,B,B,18.0,24.0
European Symposium on Gender and ICT,ESGICT,,,,C,C,C,C,C,,
European Symposium on Programming,ESOP,A,A,A,A,A,A,A,A,23.0,30.0
European Workshop on Advanced Mobile Robots,EuroBot,,,,C,C,C,C,C,,
European Workshop on Computational Geometry,EuroCG,C,C,C,C,C,C,C,C,,
European Workshop on Learning Robots,EWLR,,,,B,B,B,B,,,
European Workshop on Modelling Autonomous Agents in a Multi-Agent World,MAAMAW,,,,C,C,C,C,C,,
European Workshop on Security and Privacy in Ad -Hoc and Sensor Networks,ESAS,,,,C,C,C,C,C,,
"European, Mediterranean and Middle Eastern Conference on Information Systems",EMCIS,,,,B,B,B,B,B,14.0,25.0
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,C,C,C,C,C,C,C,C,7.0,11.0
Eurosys Conference,EuroSys,A,A,A,A,A,A,A,A,,
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,C,C,C,C,C,C,C,C,,
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,B,A,A,A,A,A,A,,28.0,45.0
Extending Database Technology,EDBT,A,A,A,A,A,A,A,A,29.0,38.0
Extreme Markup Languages,Extreme,,,,C,C,C,C,C,,
Eye Tracking Research and Applications,ETRA,B,B,,,,,,,31.0,43.0
FIRA Robot World Congress,FIRA,,,,C,C,C,C,C,,
Field Programmable Logic and Applications,FPL,TBR,,,,,,,,28.0,41.0
Financial Cryptography and Data Security Conference,FC,A,A,B,B,B,B,A,A,47.0,86.0
Finite Differences-Finite Elements-Finite Volumes-Boundary Elements,F-and-B,,,,C,C,C,C,C,,
Flexible Query-Answering Systems,FQAS,C,C,C,C,C,C,C,C,,
Florida Artificial Intelligence Research Society Conference,FlAIRS,National: USA,National: USA,,,,,,C,,
Formal Methods Pacific,FMP,,,,C,C,C,C,C,,
Formal Methods in Computer-Aided Design,FMCAD,B,B,Unranked,Unranked,,,,,18.0,23.0
Formal Methods in Software Engineering and Defence Systems Workshop,FMSEDS,,,,C,C,C,C,C,,
Formal Power Series and Algebraic Combinatorics,FPSAC,,,,B,B,B,B,B,,
Formal Techniques in Real-Time and Fault Tolerant Systems,FTRTFT,,,,B,B,B,B,,,
Formal and Computational Cryptography,FCC,,,,C,C,C,C,C,,
Forum on Specification and Design Languages,FDL,C,C,C,C,C,C,C,C,,
Foundations of Aspect-Oriented Languages,FOAL,,,,C,C,C,C,C,,
Foundations of Genetic Algorithms,FOGA,A,A,A*,A*,A*,A*,A*,A,,
Foundations of Software Science and Computational Structures,FOSSACS,A,A,A,A,A,A,C,C,17.0,23.0
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,National: India,National: India,National: India,B,B,B,B,B,11.0,15.0
Frontiers in Education,FIE,C,C,B,B,B,B,B,,72.0,109.0
Functional and Declarative Programming in Education,FDPE,,,,C,C,C,C,C,,
Fundamental Approaches to Software Engineering,FASE,B,B,B,B,B,B,B,B,18.0,23.0
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,C,C,C,C,C,C,C,C,,
GIS Planet Conference,GISPlanet,,,,C,C,C,C,C,,
Game Developers Conference,GDC,,,,C,C,C,C,C,,
Genetic and Evolutionary Computations,GECCO,A,A,A,A,A,A,A,A,,