Title,Acronym_x,CORE,ERA Score,Acronym_y,h5_index,h5_median
International Conference on Advanced Communications and Computation,INFOCOMP,Unranked,,INFOCOMP,48.0,68.0
"International Conference on Ambient Systems, Networks and Technologies",ANT,Unranked,,ANT,,
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,B,,HCOMP,,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,C,C,SERA,,
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,A*,A,SIGCOMM,,
ACM Conference on Computer and Communications Security,CCS,A*,A,CCS,92.0,136.0
ACM Conference on Computer Supported Cooperative Work,CSCW,A,A,CSCW,24.0,31.0
ACM Conference on Economics and Computation,EC,A*,,EC,3.0,3.0
ACM Conference on Embedded Networked Sensor Systems,SENSYS,A*,A,SENSYS,39.0,64.0
ACM Conference on Embedded Software,EMSOFT,Journal published,A,EMSOFT,,
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A,A,OOPSLA,,
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,B,,ACM_WiSec,,
ACM Information Technology Education,SIGITE,National: USA,C,SIGITE,,
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,TBR,,FPGA,40.0,62.0
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,C,,ACE,,
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,A,B,SIGSPATIAL,,
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,A,,CoNEXT,30.0,43.0
ACM International Conference on Information and Knowledge Management,CIKM,A,A,CIKM,91.0,133.0
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,Journal Published,,ISS,,
ACM International Conference on Knowledge Discovery and Data Mining,KDD,A*,A,KDD,124.0,213.0
ACM International Conference on Mobile Computing and Networking,MOBICOM,A*,A,MOBICOM,24.0,42.0
ACM International Conference on Recommender Systems,RecSys,A,,RecSys,53.0,81.0
ACM International Conference on Research and Development in Information Retrieval,SIGIR,A*,A,SIGIR,103.0,149.0
ACM International Conference on Supercomputing,ICS,A,A,ICS,26.0,37.0
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A*,,FSE,,
ACM International Conference on Web Search and Data Mining,WSDM,A,B,WSDM,77.0,130.0
ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,journal published,,UbiComp,27.0,44.0
ACM International Symposium on Computer Architecture,ISCA,A*,A,ISCA,62.0,96.0
ACM International Symposium on High Performance Distributed Computing,HPDC,A,A,HPDC,21.0,34.0
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,B,B,IWCMC,35.0,49.0
ACM Multimedia,ACMMM,A*,A,ACMMM,101.0,138.0
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,A*,,SIGGRAPH,,
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,B,,SCA,,
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,A,,Mobisys,,
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,A*,,PODS,24.0,30.0
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,A*,,SOSP,,
"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,B,,LCTES,,
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,C,,PEPM,,
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,B,,PADS,,
ACM SIGUCCS Conference on User Services,SIGUCCS,National: USA,,SIGUCCS,,
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,A,A,SIGCSE,,
ACM Special Interest Group on Management of Data Conference,SIGMOD,A*,A,SIGMOD,,
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,B,,Group,,
"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,C,,SACMAT,16.0,28.0
ACM Symposium on Applied Computing,SAC,Multiconference,B,SAC,36.0,50.0
ACM Symposium on Document Engineering,DocEng,B,,DocEng,13.0,21.0
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,A,,MOBIHOC,24.0,42.0
ACM Symposium on Principles of Distributed Computing,PODC,A*,A,PODC,30.0,51.0
ACM Symposium on Solid and Physical Modelling,SPM,C,B,SPM,,
ACM Symposium on Theory of Computing,STOC,A*,A,STOC,57.0,84.0
ACM Symposium on User Interface Software and Technology,UIST,A*,A,UIST,51.0,72.0
ACM Virtual Reality Software and Technology,VRST,A,A,VRST,26.0,38.0
ACM Workshop on Hot Topics in Networks,HOTNETS,National: USA,A,HOTNETS,22.0,32.0
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*,A,POPL,,
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*,A,PLDI,51.0,82.0
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,B,,I3DG,,
ACM/IEEE International Conference on Human-Robot Interaction,HRI,A,,HRI,54.0,76.0
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,A,A,MSWIM,,
ACM/IEEE Symposium on Edge Computing,SEC,unranked,,SEC,17.0,26.0
ACM/IFIP/USENIX International Middleware Conference,Middleware,A,,Middleware,,
ACM/SIAM Symposium on Discrete Algorithms,SODA,A*,A,SODA,55.0,77.0
ACM/SPEC International Conference on Performance Engineering,ICPE,B,,ICPE,23.0,32.0
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,C,C,AICCSA,,
Advanced Concepts for Intelligent Vision Systems,ACIVS,B,B,ACIVS,,
Advanced Visual Interfaces,AVI,B,B,AVI,15.0,22.0
Advances in Cryptology,CRYPTO,A*,A,CRYPTO,61.0,95.0
Advances in Modal Logic,AiML,B,,AiML,,
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,A*,,NeurIPS,,
Algorithmic Learning Theory,ALT,B,A,ALT,34.0,52.0
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,B,A,WADS,14.0,17.0
American Medical Informatics Annual Fall Symposium,AMIA,National: USA,,AMIA,,
Annual Computer Security Applications Conference,ACSAC,A,A,ACSAC,,
Annual Conference on Computer Science Logic,CSL,B,,CSL,16.0,19.0
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,B,A,ITiCSE,,
"Annual Conference on Privacy, Security and Trust",PST,C,C,PST,,
Annual International Workshop on Presence,ISPR,C,B,ISPR,,
Annual Meeting of the Cognitive Science Society,CogSci,B,,CogSci,32.0,46.0
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,B,,SIGdial,31.0,48.0
Applications of Information Visualization,IV-App,C,C,IV-App,,
Applications of Natural Language to Data Bases,NLDB,C,C,NLDB,18.0,28.0
Applied Computing Conference,ACC,C,C,ACC,133.0,171.0
Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,A,ASPLOS,71.0,122.0
Artificial Intelligence Applications and Innovations,AIAI,C,,AIAI,25.0,36.0
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,C,,ArtsIT,,
Asia and South Pacific Design Automation Conference,ASPDAC,C,,ASPDAC,38.0,45.0
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,A,,AsiaCCS,,
Asia Pacific Conference on Communications,APCC,C,B,APCC,11.0,17.0
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,C,,IES,,
Asia-Pacific Bioinformatics Conference,APBC,B,B,APBC,,
Asia-Pacific Conference on Conceptual Modelling,APCCM,Australasian C,B,APCCM,,
Asia-Pacific Network Operations and Management Symposium,APNOMS,C,C,APNOMS,,
Asia-Pacific Services Computing Conference,APSCC,C,C,APSCC,,
Asia-Pacific Software Engineering Conference,APSEC,C,C,APSEC,16.0,25.0
Asian Conference on Computer Vision,ACCV,B,B,ACCV,39.0,64.0
Asian Conference on Intelligent Information and Database Systems,ACIIDS,B,,ACIIDS,19.0,32.0
Asian Conference on Machine Learning,ACML,Unranked,,ACML,23.0,43.0
ASIAN Symposium on Programming Languages and Systems,APLAS,B,B,APLAS,,
"Asilomar Conference on Signals, Systems and Computing",ACSSC,National: USA,C,ACSSC,33.0,49.0
Association for Computational Linguistics,ACL,A*,,ACL,215.0,362.0
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,C,B,CAADRIA,,
Australasian Computing Education Conference (ACE),ACE,Australasian B,,ACE,,
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,Australasian C,C,ACCMCC,,
Australasian Conference on Information Security and Privacy,ACISP,Australasian B,B,ACISP,17.0,23.0
Australasian Conference on Robotics and Automation,ACRA,Australasian C,B,ACRA,,
Australasian Database Conference,ADC,Australasian B,B,ADC,,
Australasian Document Computing Symposium,ADCS,Australasian B,,ADCS,,
Australasian Information Security Conference,AISC,Australasian C,B,AISC,17.0,23.0
Australasian Joint Conference on Artificial Intelligence,AI,Australasian B,B,AI,,
Australasian Language Technology Workshop,ALTA,Australasian C,,ALTA,11.0,16.0
Australasian Speech Science and Technology,SST,Australasian C,B,SST,,
Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,Australasian C,,AusPDC,,
Australian Computer Human Interaction Conference,OZCHI,Australasian B,B,OZCHI,18.0,24.0
Australian Data Mining Conference,AusDM,Australasian C,,AusDM,,
Australian Institute of Computer Ethics Conference,AICE,Australasian C,C,AICE,,
Automated Software Engineering Conference,ASE,A*,A,ASE,54.0,74.0
Automation of Software Test,AST,C,C,AST,,
Body Sensor Networks,BSN,C,C,BSN,15.0,22.0
British Computer Society Conference on Human-Computer Interaction,HCI,National,A,HCI,5.0,5.0
British Machine Vision Conference,BMVC,A,B,BMVC,65.0,109.0
CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,Journal Published,,CHI PLAY,,
Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,C,C,CTW,,
Combinatorial Pattern Matching,CPM,B,B,CPM,13.0,17.0
Computability in Europe: Logic and Theory of Algorithms,CiE,C,,CiE,9.0,12.0
Computational Intelligence in Security for Information Systems,CISIS,National: Spain,B,CISIS,11.0,17.0
Computer Aided Verification,CAV,A*,A,CAV,38.0,57.0
Computer Algebra in Scientific Computing,CASC,B,,CASC,9.0,11.0
"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,C,C,CAivDE,,
Computer Graphics International,CGI,C,B,CGI,59.0,92.0
Computer Sciences and Information Technologies,CSIT,National,,CSIT,25.0,33.0
Conference for the International Simulation and Gaming Association,ISAGA,C,C,ISAGA,,
Conference in Uncertainty in Artificial Intelligence,UAI,A,A,UAI,56.0,87.0
Conference of the Association for Machine Translation in the Americas,AMTA,National/Regional,B,AMTA,,
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,C,C,APORS,,
Conference of the European Association for Machine Translation,EAMT,C,B,EAMT,17.0,31.0
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,C,,EUSFLAT,,
Conference on Agile Software Development,XP,B,,XP,24.0,36.0
Conference on Algebra and Coalgebra in Computer Science,CALCO,B,,CALCO,,
Conference on Algorithmic Aspects in Information and Management,AAIM,C,C,AAIM,,
Conference on Combinatorial Optimization and Applications,COCOA,C,B,COCOA,9.0,14.0
Conference on Computational Natural Language Learning,CoNLL,B,,CoNLL,39.0,60.0
CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,Multi-conference,,FedCSIS,,
Conference on File and Storage Technologies,FAST,A,,FAST,39.0,66.0
Conference on Fun with Algorithms,FUN,National: Italy,B,FUN,,
Conference on Games (was Computational Intelligence and Games CIG),COG,C,,COG,,
Conference on Information Sciences and Systems,CISS,National: USA,C,CISS,21.0,41.0
"Conference on Innovation in Clouds, Internet and Networks",ICIN,National: France,,ICIN,17.0,30.0
Conference on Innovative Data Systems Research,CIDR,A,A,CIDR,32.0,49.0
Conference on Integer Programming and Combinatorial Optimization,IPCO,A,A,IPCO,,
Conference on Intelligent Computer Mathematics,CICM,C,,CICM,3.0,4.0
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,A,,ITP,,
Conference on Learning Theory,COLT,A*,,COLT,74.0,103.0
Conference on Robot Learning,CoRL,Unranked,,CoRL,88.0,150.0
Conference on Security and Cryptography for Networks,SCN,National: Italy,B,SCN,,
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,C,,CSEET,,
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,National: Croatia,B,SOFTCOM,,
Conference on Theory and Applications of Models of Computation,TAMC,C,B,TAMC,11.0,24.0
Conference on Visualization and Data Analysis,VDA,National: USA,C,VDA,,
"Cooperative Design, Visualization, and Engineering",CDVE,C,C,CDVE,8.0,8.0
Cryptographers Track at RSA Conference,CT-RSA,B,,CT-RSA,23.0,50.0
Current Trends in Theory and Practice of Computer Science,SOFSEM,B,B,SOFSEM,,
Data Compression Conference,DCC,B,A,DCC,24.0,39.0
Data Warehousing and Knowledge Discovery,DaWaK,B,,DaWaK,12.0,20.0
"Datenbanksysteme für Business, Technologie und Web",BTW,National:Germany,,BTW,14.0,18.0
Design Automation Conf,DAC,TBR,,DAC,60.0,85.0
"Design, Automation and Test in Europe Conference",DATE,B,B,DATE,46.0,71.0
Designing Interactive Systems,DIS,A,B,DIS,49.0,62.0
Developments in eSystems Engineering,DeSE,C,,DeSE,18.0,27.0
Developments in Language Theory,DLT,C,B,DLT,8.0,10.0
Digital Audio Effects Conference,DAFX,C,,DAFX,,
Digital Games Research Conference,DIGRA,C,C,DIGRA,,
Digital Image Computing Techniques and Applications,DICTA,Australasian C,B,DICTA,20.0,29.0
Discovery Science,DS,B,,DS,34.0,43.0
DNA Computing and Molecular Programming,DNA,B,,DNA,,
Dynamic Languages Symposium,DLS,C,B,DLS,,
Educational Data Mining,EDM,B,B,EDM,32.0,45.0
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,B,,EMAS,,
Empirical Methods in Natural Language Processing,EMNLP,A*,A,EMNLP,193.0,310.0
Engineering Interactive Computing Systems,EICS,Journal Published,,EICS,12.0,16.0
ETHICOMP Conference,ETHICOMP,C,B,ETHICOMP,,
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,C,,EATIS,,
Euro Virtual Reality,Euro VR,C,,Euro VR,,
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,C,C,EUroComb,,
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,C,B,EGPGV,,
Eurographics/IEEE Symposium on Visualization,EuroVis,B,,EuroVis,,
Euromicro Conference on Real-Time Systems,ECRTS,B,A,ECRTS,21.0,36.0
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,B,C,SEAA,23.0,36.0
"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,C,C,PDP,16.0,29.0
European Association for Computational Linguistics,EACL,A,,EACL,56.0,88.0
European Chapter on Combinatorial Optimization,ECCO,C,C,ECCO,,
European Conference on Artificial Intelligence,ECAI,A,A,ECAI,36.0,66.0
European Conference on Computational Biology,ECCB,C,B,ECCB,,
European Conference on Computer Supported Cooperative Work,ECSCW,B,B,ECSCW,11.0,14.0
European Conference on Computer Vision,ECCV,A*,A,ECCV,206.0,306.0
European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,C,,ECDG,,
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,B,,EvoCOP,,
European Conference on Genetic Programming,EUROGP,B,B,EUROGP,,
European Conference on Information Retrieval,ECIR,A,B,ECIR,42.0,60.0
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,A,,ECML PKDD,,
European Conference on Modelling Foundations and Applications,ECMFA,B,,ECMFA,,
European Conference on Multi-Agent Systems,EUMAS,C,,EUMAS,11.0,14.0
European Conference on Object-Oriented Programming,ECOOP,A,A,ECOOP,19.0,26.0
European Conference on Operations Research,EURO,C,C,EURO,,
European Conference on Pattern Languages of Programs,EuroPLop,National: Germany,,EuroPLop,13.0,23.0
European Conference on Software Architecture,ECSA,A,,ECSA,20.0,28.0
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,C,C,ECSQARU,12.0,16.0
European Conference on Technology Enhanced Learning,EC-TEL,B,,EC-TEL,19.0,26.0
European Dependable Computing Conference,EDCC,Unranked,,EDCC,14.0,21.0
European MPI Users' Group Conference,EuroMPI,C,,EuroMPI,,
European SPI,EuroSPI,B,,EuroSPI,17.0,22.0
European Symposium on Algorithms,ESA,A,A,ESA,25.0,30.0
European Symposium on Artificial Neural Networks,ESANN,B,B,ESANN,18.0,24.0
European Symposium on Programming,ESOP,A,A,ESOP,23.0,30.0
European Symposium On Research In Computer Security,ESORICS,A,A,ESORICS,33.0,48.0
European Workshop on Computational Geometry,EuroCG,C,,EuroCG,,
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,C,C,EJC,7.0,11.0
Eurosys Conference,EuroSys,A,,EuroSys,,
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,C,C,EMMSAD,,
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,B,,ESWC,,
Extending Database Technology,EDBT,A,A,EDBT,29.0,38.0
Eye Tracking Research and Applications,ETRA,B,,ETRA,31.0,43.0
Field Programmable Logic and Applications,FPL,TBR,,FPL,28.0,41.0
Financial Cryptography and Data Security Conference,FC,A,A,FC,47.0,86.0
Flexible Query-Answering Systems,FQAS,C,C,FQAS,,
Florida Artificial Intelligence Research Society Conference,FlAIRS,National: USA,,FlAIRS,,
Formal Methods in Computer-Aided Design,FMCAD,B,,FMCAD,18.0,23.0
Forum on Specification and Design Languages,FDL,C,,FDL,,
Foundations of Genetic Algorithms,FOGA,A,A,FOGA,,
Foundations of Software Science and Computational Structures,FOSSACS,A,C,FOSSACS,17.0,23.0
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,National: India,B,FST&TCS,11.0,15.0
Frontiers in Education,FIE,C,,FIE,72.0,109.0
Fundamental Approaches to Software Engineering,FASE,B,B,FASE,18.0,23.0
Genetic and Evolutionary Computations,GECCO,A,A,GECCO,,
Geometry Modeling and Processing,GMP,C,B,GMP,,
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,C,C,DIMVA,,
Graph Drawing,GD,A,A,GD,13.0,17.0
Graphics Interface,GI,B,B,GI,3.0,4.0
Haskell Workshop,HASKELL,C,C,HASKELL,,
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,Unranked,,HCist,,
Health Informatics Conference,HIC,Australasian C,C,HIC,23.0,36.0
Heterogeneity in Computing Workshop,HCW,C,B,HCW,,
Human System Interaction,HSI,C,C,HSI,,
Human-Agent Interaction,HAI,B,,HAI,20.0,24.0
IADIS International Conference Applied Computing,IADIS AC,C,,IADIS AC,,
IberoAmerican Congress on Pattern Recognition,CIARP,C,C,CIARP,12.0,14.0
"ICT in Education, Research, and Industrial Applications",ICTERI,National: Ukraine,,ICTERI,,
IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,C,C,ASRU,45.0,74.0
IEEE Bioinformatics and Bioengineering,BIBE,C,C,BIBE,20.0,26.0
IEEE Computer Security Foundations Symposium (was CSFW),CSF,A,,CSF,,
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,Regional,,FRUCT,24.0,32.0
IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,National:USA,,CogSIMA,10.0,13.0
IEEE Conference on Computational Complexity,CCC,A,,CCC,25.0,34.0
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,A*,A,CVPR,440.0,689.0
IEEE Conference on Local Computer Networks,LCN,B,A,LCN,22.0,25.0
IEEE Conference on Mass Storage Systems and Technologies,MSST,National: USA,C,MSST,,
"IEEE Conference on Systems, Man and Cybernetics",SMC,B,B,SMC,155.0,212.0
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,A*,,VR,,
IEEE Congress on Evolutionary Computation,CEC,B,A,CEC,89.0,133.0
IEEE Congress on Services,SERVICES,B,B,SERVICES,,
IEEE Consumer Communications and Networking Conference,IEEE CCNC,B,B,IEEE CCNC,32.0,41.0
IEEE European Symposium on Security and Privacy,EuroS&P,A,,EuroS&P,47.0,84.0
IEEE European Test Symposium,ETS,TBR,,ETS,16.0,20.0
IEEE Global Internet Symposium,GI,C,C,GI,3.0,4.0
IEEE Global Telecommunications Conference,GLOBECOM,B,B,GLOBECOM,18.0,29.0
IEEE Industrial Electronics Society,IECON,TBR,,IECON,30.0,48.0
IEEE Industry Applications Society Annual Conference,IAS,National: USA,,IAS,,
"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,B,,ICASSP,129.0,195.0
IEEE International Conference on Advanced Learning Technologies,ICALT,B,B,ICALT,22.0,28.0
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,B,,AVSS,23.0,52.0
IEEE International Conference on Automatic Face and Gesture Recognition,FG,B,C,FG,43.0,62.0
IEEE International Conference on Automation Science and Engineering,CASE,TBR,,CASE,29.0,40.0
IEEE International Conference on Big Data,BigData,B,,BigData,54.0,79.0
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,C,,ICBC,39.0,54.0
IEEE International Conference on Cloud Computing,CLOUD,B,B,CLOUD,28.0,42.0
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,National:India,,CCEM,,
IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,C,,CloudCom,13.0,21.0
IEEE International Conference on Cluster Computing,CLUSTER,B,A,CLUSTER,29.0,43.0
IEEE International Conference on Cognitive Informatics,ICCI,C,C,ICCI,10.0,14.0
IEEE International Conference on Computer and Information Technology,CIT,C,C,CIT,,
IEEE International Conference on Computer Communications,INFOCOM,A*,,INFOCOM,80.0,115.0
IEEE International Conference on Computer Design,ICCD,TBR,,ICCD,41.0,63.0
IEEE International Conference on Computer Vision,ICCV,A*,A,ICCV,291.0,484.0
IEEE International Conference on Cybernetics and Intelligent Systems,CIS,C,C,CIS,12.0,15.0
IEEE International Conference on Data Mining,ICDM,A*,A,ICDM,50.0,88.0
IEEE International Conference on Data Science and Advanced Analytics,DSAA,B,,DSAA,26.0,36.0
IEEE International Conference on Data Science and Engineering,ICDSE,National:India,,ICDSE,16.0,25.0
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,B,B,DCOSS,25.0,36.0
IEEE International Conference on Document Analysis and Recognition,ICDAR,A,,ICDAR,,
IEEE International Conference on e-Science and Grid Computing,e-Science,B,,e-Science,,
IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,C,,HealthCom,,
IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,TBR,,ETFA,34.0,45.0
IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,B,A,ICECCS,14.0,19.0
IEEE International Conference on Fog and Edge Computing,ICFEC,C,,ICFEC,,
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,B,A,FUZZ-IEEE,25.0,36.0
IEEE International Conference on Global Software Engineering,ICGSE,C,C,ICGSE,84.0,118.0
IEEE International Conference on High Performance Computing and Communications,HPCC,C,B,HPCC,20.0,29.0
IEEE International Conference on Image Processing,ICIP,B,B,ICIP,66.0,95.0
IEEE International Conference on Industrial Informatics,INDIN,TBR,,INDIN,21.0,30.0
IEEE International Conference on Information Reuse and Integration,IRI,National: USA,,IRI,21.0,28.0
IEEE International Conference on Intelligence and Security Informatics,ISI,C,C,ISI,18.0,28.0
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,National: Romania,C,ICCP,,
IEEE International Conference on Intelligent Systems,IEEE IS,C,C,IEEE IS,86.0,125.0
IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,B,B,MASS,20.0,25.0
IEEE International Conference on Multimedia and Expo,ICME,A,B,ICME,46.0,67.0
IEEE International Conference on Pervasive Computing and Communications,PERCOM,A*,A,PERCOM,29.0,36.0
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,A,,ICPC,,
IEEE International Conference on Quantum Computing and Engineering,QCE,TBR,,QCE,28.0,49.0
IEEE International Conference on Robotics and Automation,ICRA,A*,,ICRA,122.0,194.0
"IEEE International Conference on Sensing, Communication and Networking",SECON,B,,SECON,27.0,32.0
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,A,,SANER,39.0,54.0
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,A,,ICSME,,
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,B,,IEEE SSE,,
IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),VCIP,C,,VCIP,18.0,25.0
IEEE International Conference on Web Services,ICWS,A,A,ICWS,26.0,42.0
"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",WiMob,B,,WiMob,19.0,27.0
IEEE International Enterprise Distributed Object Computing Conference,EDOC,B,B,EDOC,21.0,30.0
IEEE International Geoscience and Remote Sensing Symposium,IGARSS,C,C,IGARSS,83.0,105.0
IEEE International Joint Conference on Neural Networks,IJCNN,B,A,IJCNN,,
IEEE International On-Line Testing Symposium,IOLTS,C,C,IOLTS,18.0,22.0
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,A,,IPDPS,,
IEEE International Performance Computing and Communications Conference,IPCCC,C,B,IPCCC,20.0,29.0
IEEE International Requirements Engineering Conference,RE,A,A,RE,32.0,49.0
IEEE International Scientific Conference on Informatics,Informatics,National:Slovakia,,Informatics,,
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,B,,WoWMoM,24.0,35.0
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,C,C,IEEE ADPRL,,
IEEE International Symposium on Artificial Life,IEEE Alife,C,A,IEEE Alife,,
IEEE International Symposium on Circuits and Systems,ISCAS,TBR,,ISCAS,39.0,52.0
"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,B,A,CCGRID,,
IEEE International Symposium on Information Theory,ISIT,B,B,ISIT,46.0,63.0
IEEE International Symposium on Multimedia,ISM,C,C,ISM,46.0,67.0
IEEE International Symposium on Network Computing and Applications,NCA,B,A,NCA,17.0,27.0
IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,C,B,ISPA,15.0,21.0
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,B,C,ISPASS,21.0,33.0
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,B,B,PIMRC,30.0,39.0
IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping),RSP,C,,RSP,,
IEEE International Symposium on Real-Time Distributed Computing,ISORC,C,,ISORC,12.0,21.0
IEEE International Symposium on Wearable Computers,ISWC,Journal Published,,ISWC,22.0,38.0
IEEE International Test Conference,ITC,TBR,B,ITC,32.0,59.0
