Title,ERA Score
1st International Conference on Building Energy and Environment COBEE,Not ranked
1st International Conference on Engineering Management ICEM,Not ranked
2008 International Conference on Biomedical Robotics and Biomechatronics BIO ROB,B
AAEE - Annual Conference of Australasian Association for Engineering Education,B
Accelerating excellence in the built environment World Conference WCAEBE,C
Accounting and Finance Association of Australia and New Zealand Conference AFAANZ,C
"ACIS Conference on Software Engineering Research, Management and Applications SERA",C
ACM Annual Computer Science Conference CSC,C
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication SIGCOMM",A
ACM Conference on Computer and Communications Security CCS,A
ACM Conference on Computer Supported Cooperative Work CSCW,A
ACM Conference on Electronic Commerce EC,B
ACM Conference on Embedded Networked Sensor Systems SENSYS,A
ACM Conference on Embedded Software EMSOFT,A
ACM Conference on Hypertext and Hypermedia Hypertext,A
ACM Conference on Object Oriented Programming Systems Languages and Applications OOPSLA,A
ACM Creativity and Cognition CC,A
ACM Digital Rights Management Workshop DRM,C
ACM Information Technology Education SIGITE,C
ACM International Conference on Advances in Geographic Information Systems SIGSPATIAL,B
ACM International Conference on Digital Interactive Media in Entertainment and Arts DIMEA,B
ACM International Conference on Emerging Networking Experiments and Technologies CoNEXT,A
ACM International Conference on Information and Knowledge Management CIKM,A
ACM International Conference on Knowledge Discovery and Data Mining SIGKDD,A
ACM International Conference on Mobile Computing and Networking MOBICOM,A
ACM International Conference on Recommender Systems RecSys,B
ACM International Conference on Research and Development in Information Retrieval SIGIR,A
ACM International Conference on Supercomputing ICS,A
ACM International Conference on Web Search and Data Mining WSDM,B
ACM International Symposium on Computer Architecture ISCA,A
ACM International Symposium on High Performance Distributed Computing HPDC,A
ACM International Wireless Communications and Mobile Computing Conference IWCMC,B
ACM International Workshop On Multimedia Databases MMDB,C
ACM International Workshop on. Mobility Management and Wireless Access MobiWac,B
ACM Multimedia ACMMM,A
ACM SIG International Conference on Computer Graphics and Interactive Techniques SIGGRAPH,A
ACM SIG on Computer and Communications Metrics and Performance SIGMETRICS,A
ACM SIGCHI_NZ Conference on Human-Computer Interaction CHINZ,C
ACM SIGCOMM Internet Measurement Conference ACM IMC,A
ACM SIGGRAPH/Eurographics Symposium on Computer Animation SCA,B
ACM SIGIR Workshop on XML and Information Retrieval SIGIR/XML,C
ACM SIGMM International Workshop on Multimedia Information Retrieval MIR,B
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services Mobisys",B
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems PODS,A
ACM SIGOPS European Workshops SIGOPS-EW,C
ACM SIGOPS Symposium on Operating Systems Principles SOSP,A
"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems LCTES",A
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation PEPM,B
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC) TLDI,C
ACM SIGSOFT International Symposium on the Foundations of Software Engineering FSE,A
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering PASTE,B
ACM SIGUCCS Conference on User Services SIGUCCS,C
ACM Special Interest Group on Computer Science Education Conference SIGCSE,A
ACM Special Interest Group on Management of Data Conference SIGMOD,A
ACM Special Interest Group on Supporting Group Work (was SIGGRoup) Group,B
ACM Symposium of Mobile and Ad Hoc Computing MOBIHOC,A
ACM Symposium on Applied Computing SAC,B
ACM Symposium on Computational Geometry SCG,A
"ACM Symposium on Information, Computer and Communications Security AsiaCCS",B
ACM Symposium on Principles of Database Systems SPDS,C
ACM Symposium on Principles of Distributed Computing PODC,A
ACM Symposium on Solid and Physical Modelling SPM,B
ACM Symposium on Theory of Computing STOC,A
ACM Symposium on User Interface Software and Technology UIST,A
ACM Virtual Reality Software and Technology VRST,A
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code FMSE,C
ACM Workshop on Hot Topics in Networks HOTNETS,A
ACM Workshop on Hot Topics in Software Upgrades HotSWUp,C
ACM Workshop on Role Based Access Control (now SACMAT) RBAC,C
ACM Workshop on Scalable Trusted Computing STC,B
ACM Workshop on Secure Web Services SWS,C
ACM Workshop on Web Information and Data Management WIDM,B
ACM/IEEE International Conference on Distributed Smart Cameras ICDSC,B
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems MSWIM",A
ACM/IEEE Supercomputing Conference SC,A
ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation PADS,B
ACM/IFIP/USENIX International Middleware Conference Middleware,A
ACM/SIAM Symposium on Discrete Algorithms SODA,A
ACM/SPIE Multimedia Computing and Networking MMCN,A
ACM-SIGACT Symposium on Principles of Programming Languages POPL,A
ACM-SIGMIS CPR Conference ACM-SIGMIS CPR,B
ACM-SIGPLAN Conference on Programming Language Design and Implementation PLDI,A
ACM-SIGRAPH Interactive 3D Graphics I3DG,A
ACS/IEEE International Conference on Computer Systems and Applications AICCSA,C
Active and Real-Time Database Systems ARTDB,C
Ada-Europe International Conference on Reliable Software Technologies EuAda,B
Advanced Concepts for Intelligent Vision Systems ACIVS,B
Advanced Course on Artificial Intelligence ACAI,C
Advanced Research in VLSI ARVLSI,C
Advanced Video and Signal Based Surveillance AVSS,B
Advanced Visual Interfaces AVI,B
Advances in Cryptology CRYPTO,A
Advances in Information Systems ADVIS,C
Advances in Intelligent Systems AIS,C
Advances in Modal Logic AiML,A
Advances in Neural Information Processing Systems NIPS,A
Advances in the Theory of Computing AITC,C
Agent-Oriented Information Systems Workshop AOIS,B
Agent-Oriented Software Engineering Workshop AOSE,C
AIAA Aerospace Sciences Meeting,B
AIChE Annual Meeting,C
AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour) AISB,B
Algebraic Methodology and Software Technology AMAST,C
Algorithmic Learning Theory ALT,A
Algorithms and Complexity in Durham ACID,C
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures) WADS,A
Ambient Information Systems AIS,B
Ambient Intelligence Developments Aml.d,C
American Association of Cost Engineers Annual Meeting AACE,A
American Federation of Information Processing Societies AFIPS,C
"American Society for Heating, Refrigeration and Air Conditioning ASHRAE",A
American Society of Mechanical Engineering,A
Americas Conference on Information Systems AMCIS,A
Americas Conference on Wind Engineering,B
Annual Computer Security Applications Conference ACSAC,A
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education ASCILITE,C
Annual Conference of the Australian Acoustical Society,A
Annual Conference of the Cognitive Science Society CogSci,A
Annual Conference of the European Association for Computer Science Logic CSL,C
Annual Conference of the International Academy for Information Management IAIM,C
Annual Conference of the International Speech Communication Association (was Eurospeech) Interspeech,A
Annual Conference on Computational Learning Theory COLT,A
Annual Conference on Evolutionary Programming EP,C
Annual Conference on Innovation and Technology in Computer Science Education ITiCSE,A
"Annual Conference on Privacy, Security and Trust PST",C
"Annual Convention for Survey, Mapping and Remote Sensing RS",C
Annual Fall Workshop on Computational Geometry CGW,C
Annual International Conference of the IEEE Engineering in Medicine and Biology Society,A
Annual International Conference on Ada TRI-Ada,C
Annual International Workshop on Presence PRESENCE,B
Annual Meeting of the Decision Sciences Institute DSI,C
Annual PKI,D
Annual PPIG Workshop PPIG,B
Annual Simulation Symposium ANSS,C
"Annual Water Distribution Systems Analysis Conference, WDSA 2008",A
Annual Workshop on Selected Areas in Cryptography SELCRYP,C
AoM Organizational Communication and Information Systems OCIS,A
Apple University Consortium Academic and Developers Conference AUCADC,C
Application of Computers and Operations Research in the Minerals Industries APCOMin,A
Application of Concurrency to System Design ACSD,B
Applications of Information Visualization IV-App,C
Applications of Natural Language to Data Bases NLDB,C
Applied Computing Conference ACC,C
Applied Perception in Graphics and Visualization APGV,C
Architectural Support for Programming Languages and Operating Systems ASPLOS,A
Argentine Symposium on Artificial Intelligence ASAI,C
Artificial Intelligence in Knowledge Management AIKM,C
Artificial Intelligence in Medicine AIIM,A
Artificial Intelligence in Medicine in Europe AIME,A
Artificial Neural Networks in Engineering Conference ANNIE,B
ASCCS International Conference on Steel-Concrete Composite and Hybrid Structures,A
ASEE Annual Conference and Exposition,B
ASEE Global Colloquium of Engineering Education,B
Asia Information Retrieval Symposium AIRS,C
Asia International Conference on Modelling and Simulation AMS,C
Asia Pacific Conference on Combustion,B
Asia Pacific Conference on Communications APCC,B
Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages) APCHDL,C
Asia Pacific Decision Science Institute Conference APDSI,C
Asia Pacific Design Automation Conference ASDAC,C
Asia Pacific Industrial Engineering and Management Systems and Chinese Institute of Industrial Engineers Conference APIEMS CIIEC,C
Asia Pacific Research Symposium on Accounting Information Systems APRSAIS,C
Asia Pacific Web Conference APWEB,C
Asian Computing Science Conference ASIAN,B
Asian Conference on Computer Vision ACCV,B
Asian Congress of Fluid Mechanics,A
Asian International Mobile Computing Conference AMOC,C
Asian Symposium on Computer Mathematics ASCM,C
ASIAN Symposium on Programming Languages and Systems APLAS,B
Asian Symposium on Visualization,B
Asian-Pacific Conference on Computational Mechanics APCOM,A
Asian-Pacific conferences on unsaturated soils Unsat-Asian,A
Asia-Pacific Bioinformatics Conference APBC,B
Asia-Pacific Computer Human Interaction Conference APCHI,C
Asia-Pacific Conference on Complex Systems Complex,C
Asia-Pacific Conference on Conceptual Modelling APCCM,B
Asia-Pacific Conference on Engineering Plasticity and Its Applications,A
Asia-Pacific Conference on Materials Processing,A
Asia-Pacific Conference on Simulated Evolution and Learning SEAL,B
Asia-Pacific Conference on Wind Engineering,B
Asia-Pacific Forum on Engineering and Technology Education AFETE,C
Asia-Pacific Network Operations and Management Symposium APNOMS,C
Asia-Pacific Services Computing Conference APSCC,C
Asia-Pacific Software Engineering Conference APSEC,C
Asia-Pacific Symposium on Visualisation APVIS,C
Asia-Pacific Vibration Conference,B
"Asilomar Conference on Signals, Systems and Computing ACSSC",C
Aspect-Orientation Asia AO-Asia,C
Aspect-Oriented Software Development AOSD,A
Association for Computer Aided Design in Architecture (ACADIA) Conference ACADIA,A
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference CAADRIA,B
Association of Architecture Schools of Australasia Annual Conference (AASA) AASA,C
Association of Collegiate Schools of Architecture (ACSA) Annual Meeting ACSA,B
Association of Computational Linguistics ACL,A
Association of Researchers in Construction Management Annual Conference ARCOM,A
Athens Colloquium on Algorithms and Complexity ACAC,C
AUSIMM Orebody Modelling and Strategic Mine Planning Conference,A
AUSIMM Project Evaluation,A
Australasia Conference on Information Security and Privacy AISP,C
Australasian Coasts and Ports Conference,A
Australasian Cognitive Science Society Conference AuCSS,C
Australasian Compumod Users' Conference COMPUMOD,C
Australasian Computer Architecture Conference ACAC,C
Australasian Computer Music Conference ACMA,C
Australasian Computer Science Conference ACSC,B
Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference) ACSAC,B
Australasian Computers in Education Conference ACEC,C
Australasian Conference on Combinatorial Mathematics and Combinatorial Computing ACCMCC,C
Australasian Conference on Computer Science Education ACE,B
Australasian Conference on Information Security and Privacy ACISP,B
Australasian Conference on Information Systems ACIS,A
Australasian Conference on Parallel and Real-Time Systems APRTS,C
Australasian Conference on Pattern Languages of Programs KoalaPLoP,C
Australasian Conference on Robotics and Automation ACRA,B
Australasian Conference on the Mechanics of Structures and Materials,B
Australasian Congress on Applied Mechanics,A
Australasian Database Conference ADC,B
Australasian Fluid Mechanics Conference,A
Australasian Housing Researchers Conference AHRC,A
Australasian Information Security Conference AISC,B
Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies) AISW-PET,C
Australasian Joint Conference on Artificial Intelligence AI,B
Australasian Port and Harbour Conference,A
Australasian Refinement Workshop AuRW,C
Australasian Remote Sensing Conference and Photogrammetry Conference ARSPC,C
"Australasian Road Safety Research, Policing and Education Conference",C
Australasian Speech Science and Technology SST,B
Australasian Symposium on Grid Computing and e-Research (now AusPDC) AusGrid,C
Australasian Symposium on Parallel and Distributed Computing (was AusGrid) AusPDC,C
Australasian Transport Research Forum ATRF,A
Australasian Urban and Regional Information Systems Association Conference AURISA,C
Australasian User Interface Conference AUIC,B
Australasian Wind Engineering Society Workshop in Wind Engineering,C
Australasian Women in Computing Workshop WIC,C
Australasian Workshop on Combinatorial Algorithms AWOCA,B
Australasian Workshop on Health Data and Knowledge Management HDKM,B
Australia New Zealand Geomechanics conference,B
Australia-Japan Joint Workshop on Intelligent and Evolutionary Systems AJWIES,C
Australian and New Zealand Academy of Management Conference ANZAM,C
Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference ANZAScA,B
Australian and New Zealand Association of Planning schools ANZAPS,B
Australian and New Zealand Intelligent Information Systems Conference ANZIIS,C
Australian and New Zealand Marketing Academy Conference ANZMAC,C
Australian Combustion Symposium,C
Australian Computer Human Interaction Conference OZCHI,B
Australian Conference for Knowledge Management and Intelligent Decision Support ACKMIDS,B
Australian Conference on Artificial Life ACAL,B
Australian Conference on Laser Diagnostics in Fluid Mechanics and Combustion,B
Australian Conference on Neural Networks ACNN,C
Australian Conference on Software Metrics ACOSM,C
Australian Data Mining Conference AusDM,B
Australian Digital Forensics Conference,B
Australian Earthquake Engineering Conference,B
Australian Game Developers Conference AGDC,C
Australian Geothermal Energy Conference,C
Australian Information Security Management Conference,B
Australian Information Warfare and Security Conference WarSec,C
Australian Institute of Building Surveyors International Refereed Conference AIBS,B
Australian Institute of Computer Ethics Conference AICE,C
Australian Knowledge Acquisition Workshop AKAW,C
Australian MADYMO Users Meeting MADYMO,C
Australian MATLAB Conference MATLAB,C
Australian Road Research Board Annual Conference,B
Australian Software Engineering Conference ASWEC,B
Australian Supercomputing Conference ACS,C
Australian Symposium on Information Visualisation ASIV,B
Australian Telecommunication Networks and Applications Conference ATNAC,C
Australian Universities Building Education Association Annual Conference AUBEA,B
Australian UNIX Users Group National Conference AUUG,C
Australian Water Association Convention - Ozwater,C
Australian Women in IT Conference OzWIT,B
"Australian Workshop on Mobile Computing, Databases and Applications MCDA",C
Australian Workshop on Requirements Engineering AWRE,B
Australian Workshop on Safety Critical Systems and Software SCSS,C
Australian Workshop on Software Architecture AWSA,C
Australian World Wide Web Conference AusWeb,C
Automated Software Engineering Conference ASE,A
Automation and Robotics International Symposium ISARC,B
Automation of Software Test AST,C
Baltic Sea Conference on Computing Education Research Koli Calling,B
Baosteel Academic Conference,B
Benelux Workshop on Information and System Security WISSec,C
Bioinformatics Visualization BioViz,C
Bled Electronic Commerce Conference BECC,B
Bluff Body Aerodynamics and Applications,A
Body Sensor Networks BSN,C
Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI,C
Brazilian Symposium on Databases SBBD,C
"Brazilian Symposium on Graphs, Algorithms and Combinatorics GRACO",C
Brazilian Symposium on Information and Computer Systems Security SBSEG,C
British Colloquium for Theoretical Computer Science BCTCS,C
British Computer Society Conference on Human-Computer Interaction HCI,A
British Computer Society Formal Aspects of Computing Science Specialist Group Workshop BCS-FMW,C
British Machine Vision Conference BMVC,B
British National Conference on Databases BNCOD,B
Built Environment Education Conference BEECON,B
CAADFutures Biennial conference CAADFutures,A
Canadian Artificial Intelligence Conference CAAI,B
Canadian Conference on Computational Geometry CCCG,C
Canadian Conference on Computer and Robot Vision CRV,C
Canadian Conference on Electrical and Computer Engineering CCECE,C
Canadian Discrete and Algorithmic Mathematics Conference CanaDAM,C
Canadian Geotechnical Society Conference,B
"Canadian Society for Civil Engineering, International Construction Specialty Conference ICSC",C
Centre for Asian and Middle Eastern Architecture conference CAMEA,A
CGAL User Workshop CGAL,C
CGC Workshop on Computational Geometry CGC,C
Challenges of Large Applications in Distributed Environments CLADE,C
Chemeca: Australasian Conference on Chemical Engineering,B
Chilean Database Workshop JCC/WBD(CDW),C
ChinaGrid Annual Conference ChinaGrid,C
CIRP Life Cycle Engineering Conference,A
Coastal Environment,C
Cognitive Science Society Annual Conference CSSAC,A
Collaborative Electronic Commerce Technology and Research CollECTeR,B
"Colloquium on Mathematics and Computer Science: Algorithms, Trees, Combinatorics and Probabilities MathInfo",C
Cologne-Twente Workshop on Graphs and Combinatorial Optimization CTW,C
CombinaTexas: Combinatorics in the South-Central U.S. Combina Texas,C
Combinatorial Pattern Matching CPM,B
Committee on Data for Science and Technology CODATA,C
Complex Objects Visualization Workshop COV,C
Complexity and information-theoretic approaches to biology CITB,B
"Composite Construction V, Kruger National Park, South Africa, American Society of Civil Engineers",A
Computability in Europe: Logic and Theory of Algorithms CiE,C
Computational Intelligence in Security for Information Systems CISIS,B
Computational Techniques and Applications Conference CTAC,C
Computational Topology Workshop CT,C
Computational Wind Engineering,B
Computer Aided Verification CAV,A
Computer Animation CANIM,A
"Computer Animation, Information Visualisation, and Digital Effects CAivDE",C
Computer Applications in The Mineral Industries APCOM,A
Computer Graphics International CGI,B
Computer Science Research Conference CSRC,C
Computer Supported Collaborative Learning CSCL,A
Computers in Cardiology,A
Computing and Control in the Water Industry 2009,B
Computing in Civil Engineering and Building International Conference ICCCBE,C
Computing in Education Group of Victoria Conference CEG,C
Computing: The Australasian Theory Symposium CATS,B
Conference and Symposium of the International Committee on Aeronautical Fatigue,A
Conférence en Recherche d'information et Applications CORIA,C
Conference for the International Simulation and Gaming Association ISAGA,C
Conference in Uncertainty in Artificial Intelligence UAI,A
Conference of South African Institute of Computer Scientists and Information Technologists SAICSIT,C
Conference of the Association for Machine Translation in the Americas AMTA,B
Conference of the Association of Asian-Pacific Operational Research Societies APORS,C
Conference of the Australian Institutes of Transport Research CAITR,C
Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques CIEAEM,C
Conference of the European Association for Machine Translation EAMT,B
Conference of the International Society for Decision Support Systems ISDSS,C
Conference of the Pacific Association for Computational Linguistics PACLING,B
Conference on Agile Software Development Agile,B
Conference on Algorithmic Aspects in Information and Management AAIM,C
Conference on Algorithms and Hardware for Parallel Processing CONPAR,C
Conference on Analysis of Algorithms AofA,B
Conference on Artificial Intelligence for Applications CAIA,B
Conference on Artificial Neural Networks and Expert systems ANNES,C
Conference on Combinatorial Optimization and Applications COCOA,B
"Conference on Computers, Freedom, and Privacy CFP",C
Conference on Construction Partnering CII-HK,C
"Conference on Discrete Mathematics, Algebra and their Application DIMA",C
Conference on Fun with Algorithms FUN,B
Conference on Graph Theory and Discrete Geometry CGTDG,C
"Conference on Information Science, Technology and Management CISTM",B
Conference on Information Sciences and Systems CISS,C
Conference on Innovative Data Systems Research CIDR,A
Conference on Integer Programming and Combinatorial Optimization IPCO,A
Conference on Natural Language Learning CoNLL,A
Conference on Office Information Systems SIGOA,C
Conference on Operational Research Practice in Africa ORPA,C
Conference on Operations Research COR,C
"Conference on Orders, Algorithms and Applications Ordal",C
Conference on Railway Engineering,A
Conference on RFID Security RFIDSec,C
Conference on Security and Cryptography for Networks SCN,B
Conference on Security in Network Architectures and Information Systems SAR-SSI,C
Conference on Software Engineering Education and Training CSEE&T,C
Conference on Software in Telecommunications and Computer Networks SOFTCOMM,B
Conference on Spatial Information Theory COSIT,C
Conference on the Quality of Software Architectures QoSA,A
Conference on Theory and Applications of Models of Computation TAMC,B
Conference on Visualization and Data Analysis VDA,C
Congress of the Italian Assoc for AI AI*IA,B
Congress of the Modelling and Simulation Society of Australia and New Zealand Modsim 03,A
ConnectED: International Conference on Design Education ConnectED,C
Constraint Databases and Applications CDB,C
Constraint Programming Day CPD,C
"Construction Applications of Virtual Reality, International Conference CAVR",C
Construction Applications to Virtual Reality Conference CONVR,C
Construction Automation Conference,B
Construction in the Twenty-first Century Conferences CITC,B
Construction Management and Economics Conference CME 25,A
Construction Management and Real Estate International Symposium CRIOCM,B
Contact Mechanics,A
"Cooperative Design, Visualization, and Engineering CDVE",C
Cooperative Research Centre for Construction Innovation International Conference CRCCI,B
Coordinated and Multiple Views in Exploratory Visualization CMV,C
Corrosion and Prevention,A
Cryptography Policy and Algorithms Conference CryPAC,C
Crypto'Puces Crypto'Puces,C
Cultural Attitudes towards Technology and Communications CATAC,B
Cultural Heritage Knowledge Visualisation CHKV,C
"Cumulus - International Association of Universities and Colleges of Art, Design and Media CUMULUS",C
Current Trends in Theory and Practice of Computer Science SOFSEM,B
Data Compression Conference DCC,A
Data Semantics in Web Information Systems DASWIS,C
Data Warehousing and Knowledge Discovery DaWaK,B
Database Systems for Advanced Applications DASFAA,A
Databases and Programming Language DBPL,B
Declarative Agent Languages and Technologies DALT,B
Design and Aesthetics in Visualisation DAViz,C
Design and Emotion Society Conferences,D
Design and Management of Data Warehouses DMDW,C
Design Computing and Cognition DCC,A
Design for User Experience DUX,B
Design Research Society (UK) International Conference DRS,B
Design Society Conferences,B
"Design, Automation and Test in Europe Conference DATE",B
Designing Interactive Systems DIS,B
Designing Pleasurable Products And Interfaces DPPI,B
Deutsche Arbeitsgemeinschaft für Mustererkennung DAGM e.V DAGM,B
Developments in Language Theory DLT,B
Digital Arts and Culture DAC,C
Digital Games Research Conference DIGRA,C
Digital Image Computing Techniques and Applications DICTA,B
DIMACS Workshop on Intrinsic Complexity of Computation DIMACS Intrinsic,C
Discourse Anaphora and Anaphor Resolution Colloquium DAARC,C
Discrete and Algorithmic Geometry DAG,C
"Discrete Models: Combinatorics, Computation and Geometry DM-CCG",C
Distributed Communities on the Web Workshop Dcw,C
Domain - Specific Languages for Software Engineering DSLSE,C
Domain Specific Aspect Languages DSAL,C
Durability of Building Materials and Components Conference DBMC,C
Dutch Computational Geometry Day DutchCG,C
Dynamic Graph Workshop DGW,C
Dynamic Languages Symposium DLS,B
East Asia Society for Transportation Studies Conference (biennial) EASTS,C
East Asia-Pacific Conference on Structural Engineering and Construction,B
Ecopolitics,B
ECRYPT Workshop on Cryptographic Hash Functions,C
ECRYPT Workshop on Tools for Cryptanalysis,C
Education and Research in Computer Aided Architectural Design in Europe eCAADe,B
Educational Data Mining EDM,B
Embedded Sensor Networks Workshop Emnets,C
Empirical Methods in Natural Language Processing EMNLP,A
Enabling Grids for,E
Engineering Education series (organised by Higher Education Academy Engineering Subject Centre UK),B
Entertainment and media in the ubiquitous era (ACM) MINDTREK,B
ENVI and IDL Data Analysis and Visualization Symposium VISualize,C
Environmental Design Research Association EDRA,B
ERATO Conference on Quantum Information Science EQIS,C
ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming ERCIM/CSCLP,B
Ershov Conference PSI,B
ETHICOMP Conference ETHICOMP,B
Euro Virtual Reality Euro VR,C
"EuroConference on Combinatorics, Graph Theory and Applications EUroComb",C
Eurographics Symposium on Parallel Graphics and Visualization EGPGV,B
Eurographics Symposium on Virtual Environments EGVE,B
Eurographics/IEEE Symposium on Visualization EuroVis,B
Euromicro Conference on Real-Time Systems ECRTS,A
Euromicro Conference on Software Engineering and Advanced Applications SEAA,C
"Euromicro International Conference on Parallel, Distributed and Network Based Processing PDP",C
Europe-Africa Conference on Wind Engineering,B
European Academy of Design conferences EAD,C
European Association of Computational Linguistics EACL,A
European Chapter on Combinatorial Optimization ECCO,C
European Computing Conference ECC,C
European Conference of Information Warfare ECIW,C
European Conference on Ambient Intelligence AmI,C
European Conference on Artificial Intelligence ECAI,A
European Conference on Artificial Life ECAL,B
European Conference on Computational Biology ECCB,B
European Conference on Computational Learning Theory (Now in COLT) EuroCOLT,C
European Conference on Computational Mechanics ECCM,A
European Conference on Computer Supported Cooperative Work ECSCW,B
European Conference on Computer Vision ECCV,A
European Conference on e-Government ECEG,C
European Conference on Genetic Programming EUROGP,B
European Conference on Information Management and Evaluation ECIME,C
European Conference on Information Retrieval ECIR,B
European Conference on Information Systems ECIS,A
European Conference on Knowledge Management EKM,B
European Conference on Machine Learning ECML,A
European Conference on Numerical Methods in Geotechnical Engineering NUMGE,A
European Conference on Object-Oriented Programming ECOOP,A
European Conference on Operations Research EURO,C
European Conference on Pattern Languages of Programs EuroPLop,B
European Conference on Principles and Practice of Knowledge Discovery in Databases PKDD,A
European Conference on Research Methodology for Business and Management Studies ECRM,C
European Conference on Software Maintenance and Reengineering CSMR,C
European Conference on Speech Communication and Technology (now Interspeech) EuroSpeech,A
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty ECSQARU,C
European Conference on Universal Multiservice Networks ECUMN,C
European Conference on Wireless Sensor Networks EWSN,A
European Congress on Intelligent Techniques and Soft Computing EUFIT,C
European Graphics Conference EUROGRAPH,A
European Institute for Computer Anti-Virus Research EICAR Conference EICAR,C
European Lisp Workshop ELW,C
European Metallurgical Congress,B
European Natural Language Generation Workshop EuroNLG,B
European PKI Workshop: Theory and Practice EUROPKI,B
European PVM/MPI Users' Group Conference EuroPVM/MPI,C
European Signal Processing Conference EUSIPCO,B
European Simulation MultiConference ESM,B
European Simulation Symposium ESS,B
European Software Engineering Conference ESEC,B
European SPI EuroSPI,B
European Symposium on Algorithms ESA,A
European Symposium on Artificial Neural Networks ESANN,B
European Symposium on Gender and ICT ESGICT,C
European Symposium on Programming ESOP,A
European Symposium On Research In Computer Security ESORICS,A
European Transport Conference ETC,B
European Turbulence Conference,A
European Workshop on Advanced Mobile Robots EuroBot,C
European Workshop on Computational Geometry EuroCG,C
European Workshop on Modelling Autonomous Agents in a Multi-Agent World MAAMAW,C
European Workshop on Multi-Agent Systems EUMAS,C
European Workshop on Security and Privacy in Ad -Hoc and Sensor Networks ESAS,C
"European, Mediterranean and Middle Eastern Conference on Information Systems EMCIS",B
European-Japanese Conference on Information Modelling and Knowledge Bases EJC,C
Eurosys Conference EuroSys,A
"Experiential Knowledge SIG conferences (Design Research Society (DRS) SIG,UK)",A
Exploring Modelling Methods in Systems Analysis and Design EMMSAD,C
Extending Database Technology EDBT,A
Extreme Markup Languages Extreme,C
Far East Workshop on Future DB Systems FEWFDB,C
FIE Frontiers in Education,A
Financial Cryptography FINCRY,B
Financial Cryptography and Data Security Conference FC,A
Finite Differences-Finite Elements-Finite Volumes-Boundary Elements,F
FIRA Robot World Congress FIRA,C
